report_group,corpus_family,language_guess,severity,code,count
corpus_batch_curated,parallel_udhr,is,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,24
corpus_batch_curated,parallel_udhr,ja,info,STATISTICAL_DEVIATION,173
corpus_batch_curated,parallel_udhr,ja,info,SURVIVES_MARKOV_2_NULL,20
corpus_batch_curated,parallel_udhr,ja,warning,DEGENERATE_EVENT_MAP,8
corpus_batch_curated,parallel_udhr,ja,warning,LOW_EVENT_COUNT,8
corpus_batch_curated,parallel_udhr,ja,warning,LOW_NULL_SAMPLE_COUNT,38
corpus_batch_curated,parallel_udhr,ja,warning,OVER_REGULARITY_WARNING,47
corpus_batch_curated,parallel_udhr,ja,warning,PERIODICITY_OR_CLUSTERING_WARNING,47
corpus_batch_curated,parallel_udhr,ja,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,53
corpus_batch_curated,parallel_udhr,la,info,STATISTICAL_DEVIATION,69
corpus_batch_curated,parallel_udhr,la,info,SURVIVES_MARKOV_2_NULL,7
corpus_batch_curated,parallel_udhr,la,warning,DEGENERATE_EVENT_MAP,5
corpus_batch_curated,parallel_udhr,la,warning,LOW_EVENT_COUNT,5
corpus_batch_curated,parallel_udhr,la,warning,LOW_NULL_SAMPLE_COUNT,19
corpus_batch_curated,parallel_udhr,la,warning,OVER_REGULARITY_WARNING,20
corpus_batch_curated,parallel_udhr,la,warning,PERIODICITY_OR_CLUSTERING_WARNING,23
corpus_batch_curated,parallel_udhr,la,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,28
corpus_batch_curated,parallel_udhr,mesu,info,STATISTICAL_DEVIATION,41
corpus_batch_curated,parallel_udhr,mesu,info,SURVIVES_MARKOV_2_NULL,3
corpus_batch_curated,parallel_udhr,mesu,warning,DEGENERATE_EVENT_MAP,5
corpus_batch_curated,parallel_udhr,mesu,warning,LOW_EVENT_COUNT,6
corpus_batch_curated,parallel_udhr,mesu,warning,LOW_NULL_SAMPLE_COUNT,19
corpus_batch_curated,parallel_udhr,mesu,warning,OVER_REGULARITY_WARNING,10
corpus_batch_curated,parallel_udhr,mesu,warning,PERIODICITY_OR_CLUSTERING_WARNING,18
corpus_batch_curated,parallel_udhr,mesu,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,13
corpus_batch_curated,parallel_udhr,ru,info,STATISTICAL_DEVIATION,59
corpus_batch_curated,parallel_udhr,ru,info,SURVIVES_MARKOV_2_NULL,6
corpus_batch_curated,parallel_udhr,ru,warning,DEGENERATE_EVENT_MAP,2
corpus_batch_curated,parallel_udhr,ru,warning,LOW_EVENT_COUNT,5
corpus_batch_curated,parallel_udhr,ru,warning,LOW_NULL_SAMPLE_COUNT,19
corpus_batch_curated,parallel_udhr,ru,warning,OVER_REGULARITY_WARNING,14
corpus_batch_curated,parallel_udhr,ru,warning,PERIODICITY_OR_CLUSTERING_WARNING,16
corpus_batch_curated,parallel_udhr,ru,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,22
corpus_batch_curated,parallel_udhr,sw,info,STATISTICAL_DEVIATION,80
corpus_batch_curated,parallel_udhr,sw,info,SURVIVES_MARKOV_2_NULL,6
corpus_batch_curated,parallel_udhr,sw,warning,DEGENERATE_EVENT_MAP,3
corpus_batch_curated,parallel_udhr,sw,warning,LOW_EVENT_COUNT,3
corpus_batch_curated,parallel_udhr,sw,warning,LOW_NULL_SAMPLE_COUNT,19
corpus_batch_curated,parallel_udhr,sw,warning,OVER_REGULARITY_WARNING,23
corpus_batch_curated,parallel_udhr,sw,warning,PERIODICITY_OR_CLUSTERING_WARNING,28
corpus_batch_curated,parallel_udhr,sw,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,28
corpus_batch_curated,parallel_udhr,tr,info,STATISTICAL_DEVIATION,94
corpus_batch_curated,parallel_udhr,tr,info,SURVIVES_MARKOV_2_NULL,9
corpus_batch_curated,parallel_udhr,tr,warning,DEGENERATE_EVENT_MAP,2
corpus_batch_curated,parallel_udhr,tr,warning,LOW_EVENT_COUNT,2
corpus_batch_curated,parallel_udhr,tr,warning,LOW_NULL_SAMPLE_COUNT,19
corpus_batch_curated,parallel_udhr,tr,warning,OVER_REGULARITY_WARNING,29
corpus_batch_curated,parallel_udhr,tr,warning,PERIODICITY_OR_CLUSTERING_WARNING,28
corpus_batch_curated,parallel_udhr,tr,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,28
corpus_batch_curated,parallel_udhr,xh,info,STATISTICAL_DEVIATION,93
corpus_batch_curated,parallel_udhr,xh,info,SURVIVES_MARKOV_2_NULL,10
corpus_batch_curated,parallel_udhr,xh,warning,DEGENERATE_EVENT_MAP,3
corpus_batch_curated,parallel_udhr,xh,warning,LOW_EVENT_COUNT,3
corpus_batch_curated,parallel_udhr,xh,warning,LOW_NULL_SAMPLE_COUNT,19
corpus_batch_curated,parallel_udhr,xh,warning,OVER_REGULARITY_WARNING,26
corpus_batch_curated,parallel_udhr,xh,warning,PERIODICITY_OR_CLUSTERING_WARNING,29
corpus_batch_curated,parallel_udhr,xh,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,28
corpus_batch_curated,parallel_udhr,zh,info,STATISTICAL_DEVIATION,221
corpus_batch_curated,parallel_udhr,zh,info,SURVIVES_MARKOV_2_NULL,26
corpus_batch_curated,parallel_udhr,zh,warning,DEGENERATE_EVENT_MAP,5
corpus_batch_curated,parallel_udhr,zh,warning,LOW_EVENT_COUNT,7
corpus_batch_curated,parallel_udhr,zh,warning,LOW_NULL_SAMPLE_COUNT,38
corpus_batch_curated,parallel_udhr,zh,warning,OVER_REGULARITY_WARNING,48
corpus_batch_curated,parallel_udhr,zh,warning,PERIODICITY_OR_CLUSTERING_WARNING,50
corpus_batch_curated,parallel_udhr,zh,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,48
corpus_batch_curated,private_parallel,mesu,info,STATISTICAL_DEVIATION,65
corpus_batch_curated,private_parallel,mesu,info,SURVIVES_MARKOV_2_NULL,3
corpus_batch_curated,private_parallel,mesu,warning,DEGENERATE_EVENT_MAP,11
corpus_batch_curated,private_parallel,mesu,warning,LOW_EVENT_COUNT,12
corpus_batch_curated,private_parallel,mesu,warning,LOW_NULL_SAMPLE_COUNT,38
corpus_batch_curated,private_parallel,mesu,warning,OVER_REGULARITY_WARNING,14
corpus_batch_curated,private_parallel,mesu,warning,PERIODICITY_OR_CLUSTERING_WARNING,30
corpus_batch_curated,private_parallel,mesu,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,20
corpus_batch_curated,private_parallel,mesu,warning,WINDOW_TOO_SMALL,17
