"report_group","corpus_family","language_guess","severity","code","count"
"canonical_udhr_v0_3_nulls100","parallel_udhr","tr","warning","PERIODICITY_OR_CLUSTERING_WARNING","22"
"canonical_udhr_v0_3_nulls100","parallel_udhr","xh","info","STATISTICAL_DEVIATION","64"
"canonical_udhr_v0_3_nulls100","parallel_udhr","xh","info","SURVIVES_MARKOV_2_NULL","7"
"canonical_udhr_v0_3_nulls100","parallel_udhr","xh","warning","DEGENERATE_EVENT_MAP","3"
"canonical_udhr_v0_3_nulls100","parallel_udhr","xh","warning","LOW_EVENT_COUNT","3"
"canonical_udhr_v0_3_nulls100","parallel_udhr","xh","warning","OVER_REGULARITY_WARNING","18"
"canonical_udhr_v0_3_nulls100","parallel_udhr","xh","warning","PERIODICITY_OR_CLUSTERING_WARNING","24"
"canonical_udhr_v0_3_nulls100","parallel_udhr","zh","info","STATISTICAL_DEVIATION","73"
"canonical_udhr_v0_3_nulls100","parallel_udhr","zh","info","SURVIVES_MARKOV_2_NULL","12"
"canonical_udhr_v0_3_nulls100","parallel_udhr","zh","warning","DEGENERATE_EVENT_MAP","3"
"canonical_udhr_v0_3_nulls100","parallel_udhr","zh","warning","LOW_EVENT_COUNT","5"
"canonical_udhr_v0_3_nulls100","parallel_udhr","zh","warning","OVER_REGULARITY_WARNING","13"
"canonical_udhr_v0_3_nulls100","parallel_udhr","zh","warning","PERIODICITY_OR_CLUSTERING_WARNING","18"
